Player,Team,Pos,Age,EXP,Type,Rights,GP,MPG,PPG,RPG,AGP,SPG,BPG,2019-2020 AAV
Alize Johnson,IND,PF,24,2,RFA,Early Bird,13,4.1,1.4,1.4,0.2,,,"$1,127,658 "
Kenrich Williams,NOP,SF,25,2,RFA,Early Bird,35,22.3,3.8,5.1,1.5,0.7,0.6,"$1,127,658 "
Gary Payton II,WAS,PG,27,4,UFA,Non-Bird,29,14.9,3.9,2.8,1.7,1.1,0.2,"$1,090,781 "
Chris Boucher,TOR,PF,27,3,RFA,Early Bird,55,13.1,6.3,4.4,0.4,0.4,1,"$1,022,825 "
Malcolm Miller,TOR,SF,27,3,RFA,Early Bird,25,5,0.9,0.6,0.3,0.2,0.1,"$1,022,825 "
Marvin Williams,MIL,PF,34,15,UFA,Non-Bird,52,19.4,6.1,2.8,1.1,0.7,0.5,"$956,349 "
Shaquille Harrison,CHI,PG,26,3,RFA,Non-Bird,43,11.3,4.9,2,1.1,0.8,0.4,"$898,310 "
Jordan McRae,DEN,SG,29,4,UFA,Early Bird,37,21.2,11.5,3.4,2.5,0.6,0.4,"$831,225 "
DeMarre Carroll,HOU,SF,34,11,UFA,Non-Bird,21,11,3.5,2.2,0.9,0.2,0.2,"$811,447 "
Michael Kidd-Gilchrist,DAL,SF,27,8,UFA,Non-Bird,21,11,2.5,2.6,0.6,0.1,0.2,"$810,763 "
Deonte Burton,OKC,SF,26,1,CO,,35,8.1,2.7,1.4,0.3,0.1,0.3,"$784,220 "
Juwan Morgan,UTH,PF,23,1,RFA,Non-Bird,,,,,,,,"$746,054 "
Reggie Jackson,LAC,PG,30,9,UFA,Non-Bird,23,24.1,12.8,2.9,4.4,0.4,0.2,"$734,025 "
Jeff Green,HOU,SF,34,13,UFA,Non-Bird,40,18.9,8.4,2.8,0.8,0.5,0.4,"$695,526 "
Rayjon Tucker,UTH,SF,23,1,RFA,Non-Bird,15,5.2,1.3,0.9,0.1,0.1,,"$578,573 "
Gary Clark,ORL,SF,25,2,RFA,Non-Bird,35,12.1,3.2,2.4,0.4,0.1,0.4,"$555,409 "
Dion Waiters,LAL,SG,28,8,UFA,Non-Bird,3,14,9.3,3.7,1,,0.7,"$503,656 "
Jontay Porter,MEM,PF,20,0,CO,,,,,,,,,"$197,933 "
Jontay Porter,MEM,PF,20,1,RFA,Early Bird,,,,,,,,"$197,933 "
Paul Watson,TOR,G,25,1,RFA,Non-Bird,,,,,,,,"$5,075 "
Jordan Bone,DET,PG,22,1,RFA,Non-Bird,,,,,,,,-
Joshia Gray,NOP,G,27,2,RFA,Non-Bird,,,,,,,,-
Gabe Vincent,MIA,G,24,1,RFA,Non-Bird,6,6.8,2,0.5,0.5,0.2,,-
Jordan McLaughlin,MIN,PG,24,1,RFA,Non-Bird,30,19.7,7.6,1.6,4.2,1.1,0.1,-
Frank Mason III,MIL,PG,26,3,RFA,Non-Bird,6,8.7,2.3,1.3,1.8,0.3,,-
Oshae Brissett,TOR,PF,22,1,RFA,Non-Bird,,,,,,,,-
Antonius Cleveland,DAL,SG,26,2,RFA,Non-Bird,6,3.7,0.8,0.5,,0.2,0.2,-
