team_abbr,season,wins,losses,win_loss_pct,srs,pace,pace_rel,off_rtg,off_rtg_rel,def_rtg,def_rtg_rel
CHA,2008-09,35,47,0.427,-1.2,88.3,-3.4,104.7,-3.6,106.1,-2.2
CHA,2007-08,32,50,0.39,-4.49,91.8,-0.6,104.6,-2.9,109.4,1.9
CHA,2006-07,33,49,0.402,-3.97,92,0.1,103.6,-2.9,107.6,1.1
CHA,2005-06,26,56,0.317,-3.9,93.4,2.9,102.5,-3.7,106.7,0.5
CHA,2004-05,18,64,0.22,-6.15,92.3,1.4,101.1,-5,107.5,1.4
CHA,2001-02,44,38,0.537,0.57,89.7,-1,104.3,-0.2,103.3,-1.2
CHA,2000-01,46,36,0.561,1.45,89.4,-1.9,101.8,-1.2,99.5,-3.5
CHI,2018-19,22,60,0.268,-8.32,99,-1,104.8,-5.6,113.2,2.8
CHI,2017-18,27,55,0.329,-6.84,98.3,1,103.8,-4.8,110.9,2.3
CHI,2016-17,41,41,0.5,0.03,95.3,-1.1,107.4,-1.4,107,-1.8
CHI,2015-16,42,40,0.512,-1.46,95.7,-0.1,105,-1.4,106.5,0.1
CHI,2014-15,50,32,0.61,2.54,92.8,-1.1,107.5,1.9,104.3,-1.3
CHI,2013-14,48,34,0.585,1.2,90.2,-3.7,102.5,-4.2,100.5,-6.2
CHI,2012-13,45,37,0.549,-0.02,89.3,-2.7,103.5,-2.4,103.2,-2.7
CHI,2011-12,50,16,0.758,7.43,89.1,-2.2,107.4,2.8,98.3,-6.3
CHI,2010-11,62,20,0.756,6.53,90.4,-1.7,108.3,1,100.3,-7
CHI,2009-10,41,41,0.5,-1.64,93.1,0.4,103.5,-4.1,105.3,-2.3
CHI,2008-09,41,41,0.5,-0.16,93.1,1.4,108.4,0.1,108.7,0.4
CHI,2007-08,33,49,0.402,-3.19,93,0.6,103.9,-3.6,107.2,-0.3
CHI,2006-07,49,33,0.598,4.52,93.6,1.7,104.9,-1.6,99.6,-6.9
CHI,2005-06,41,41,0.5,0.51,92.9,2.4,104,-2.2,103.4,-2.8
CHI,2004-05,47,35,0.573,0.65,92.4,1.5,101.4,-4.7,100.3,-5.8
CHI,2003-04,23,59,0.28,-6.69,92.2,2.1,96.6,-6.3,103.4,0.5
CHI,2002-03,30,52,0.366,-5.31,93.5,2.5,100.2,-3.4,105.6,2
CHI,2001-02,21,61,0.256,-8.52,90.5,-0.2,98.2,-6.3,107.6,3.1
CHI,2000-01,15,67,0.183,-9.09,89.3,-2,97.2,-5.8,107.3,4.3
CLE,2018-19,19,63,0.232,-9.39,96.6,-3.4,107.7,-2.7,117.6,7.2
CLE,2017-18,50,32,0.61,0.59,98,0.7,112.9,4.3,111.9,3.3
CLE,2016-17,51,31,0.622,2.87,96.2,-0.2,113.6,4.8,110.3,1.5
CLE,2015-16,57,25,0.695,5.45,93.3,-2.5,110.9,4.5,104.5,-1.9
CLE,2014-15,53,29,0.646,4.08,92.3,-1.6,111.1,5.5,106.3,0.7
CLE,2013-14,33,49,0.402,-3.86,93.1,-0.8,104.2,-2.5,107.7,1
CLE,2012-13,24,58,0.293,-4.87,92.3,0.3,104.3,-1.6,109.4,3.5
CLE,2011-12,21,45,0.318,-7.34,91.3,0,101.1,-3.5,108.9,4.3
CLE,2010-11,19,63,0.232,-8.88,93,0.9,102.2,-5.1,111.8,4.5
CLE,2009-10,61,21,0.744,6.17,91.4,-1.3,111.2,3.6,104.1,-3.5
CLE,2008-09,66,16,0.805,8.68,88.7,-3,112.4,4.1,102.4,-5.9
CLE,2007-08,45,37,0.549,-0.53,90.2,-2.2,106,-1.5,106.4,-1.1
