team_abbr,season,wins,losses,win_loss_pct,srs,pace,pace_rel,off_rtg,off_rtg_rel,def_rtg,def_rtg_rel
MIA,2003-04,42,40,0.512,-0.13,88,-2.1,102.2,-0.7,101.7,-1.2
MIA,2002-03,25,57,0.305,-5.13,87.8,-3.2,96.7,-6.9,102.4,-1.2
MIA,2001-02,36,46,0.439,-1.84,87.4,-3.3,98.5,-6,100.2,-4.3
MIA,2000-01,50,32,0.61,1.73,87.1,-4.2,101.1,-1.9,98.5,-4.5
MIL,2018-19,60,22,0.732,8.04,103.3,3.3,113.8,3.4,105.2,-5.2
MIL,2017-18,44,38,0.537,-0.45,96.2,-1.1,109.8,1.2,110.1,1.5
MIL,2016-17,42,40,0.512,-0.45,94.5,-1.9,109.1,0.3,109.3,0.5
MIL,2015-16,33,49,0.402,-3.98,94.2,-1.6,104.3,-2.1,108.7,2.3
MIL,2014-15,41,41,0.5,-0.09,94.1,0.2,102.7,-2.9,102.2,-3.4
MIL,2013-14,15,67,0.183,-8.41,91.8,-2.1,103,-3.7,111.8,5.1
MIL,2012-13,38,44,0.463,-1.83,94.7,2.7,103.6,-2.3,105.2,-0.7
MIL,2011-12,31,35,0.47,-0.23,93.7,2.4,105.5,0.9,105.2,0.6
MIL,2010-11,35,47,0.427,-1.02,89.8,-2.3,101.6,-5.7,102.5,-4.8
MIL,2009-10,46,36,0.561,1.37,91.7,-1,104.9,-2.7,103.1,-4.5
MIL,2008-09,34,48,0.415,-0.88,92.6,0.9,106.7,-1.6,107.9,-0.4
MIL,2007-08,26,56,0.317,-6.92,91.3,-1.1,105.3,-2.2,112.8,5.3
MIL,2006-07,28,54,0.341,-4.43,92.3,0.4,107,0.5,111.7,5.2
MIL,2005-06,40,42,0.488,-1.07,91.2,0.7,106.3,0.1,107.4,1.2
MIL,2004-05,30,52,0.366,-3.09,90.8,-0.1,106.6,0.5,109.8,3.7
MIL,2003-04,41,41,0.5,0.42,91.6,1.5,106.5,3.6,105.4,2.5
MIL,2002-03,42,40,0.512,-0.24,90.4,-0.6,108.8,5.2,108.6,5
MIL,2001-02,41,41,0.5,-0.62,90.2,-0.5,106.9,2.4,107.1,2.6
MIL,2000-01,52,30,0.634,3.14,92.1,0.8,108.8,5.8,104.6,1.6
MIN,2018-19,36,46,0.439,-1.02,100.2,0.2,111.4,1,112.9,2.5
MIN,2017-18,47,35,0.573,2.35,96,-1.3,113.4,4.8,111.1,2.5
MIN,2016-17,31,51,0.378,-0.64,94.6,-1.8,110.8,2,112,3.2
MIN,2015-16,29,53,0.354,-3.38,95.2,-0.6,106.5,0.1,110.1,3.7
MIN,2014-15,16,66,0.195,-8,94.4,0.5,102.9,-2.7,112.2,6.6
MIN,2013-14,40,42,0.488,3.1,97.3,3.4,108.9,2.2,106.2,-0.5
MIN,2012-13,31,51,0.378,-1.83,92.8,0.8,102.9,-3,105.4,-0.5
MIN,2011-12,26,40,0.394,-1.83,93.3,2,104.3,-0.3,106.6,2
MIN,2010-11,17,65,0.207,-5.97,96.5,4.4,104.2,-3.1,111.1,3.8
MIN,2009-10,15,67,0.183,-9.06,96.1,3.4,101.7,-5.9,111.6,4
MIN,2008-09,24,58,0.293,-4.74,91.6,-0.1,106.1,-2.2,111.4,3.1
MIN,2007-08,22,60,0.268,-6.26,91.9,-0.5,103.8,-3.7,111.2,3.7
MIN,2006-07,32,50,0.39,-3.16,91,-0.9,103.9,-2.6,107.9,1.4
MIN,2005-06,33,49,0.402,-1.75,88.8,-1.7,102.4,-3.8,104.5,-1.7
MIN,2004-05,44,38,0.537,1.73,89.1,-1.8,108.2,2.1,106.6,0.5
MIN,2003-04,58,24,0.707,5.86,89,-1.1,105.9,3,99.7,-3.2
MIN,2002-03,51,31,0.622,2.46,91.9,0.9,106.1,2.5,103.8,0.2
MIN,2001-02,50,32,0.61,3.58,90.5,-0.2,109,4.5,105.3,0.8
MIN,2000-01,47,35,0.573,1.81,91.8,0.5,105.2,2.2,103.7,0.7
NOP,2018-19,33,49,0.402,-1.1,103.3,3.3,111.4,1,112.6,2.2
NOP,2017-18,48,34,0.585,1.48,100.5,3.2,109.6,1,108.3,-0.3
NOP,2016-17,34,48,0.415,-1.69,98,1.6,105.2,-3.6,107.4,-1.4
NOP,2015-16,30,52,0.366,-3.56,96.8,1,105.6,-0.8,109.5,3.1
NOP,2014-15,45,37,0.549,1.13,91.4,-2.5,108.2,2.6,107.3,1.7
NOP,2013-14,34,48,0.415,-1.98,92.2,-1.7,107.2,0.5,110.1,3.4
NOH,2012-13,27,55,0.329,-3.12,88.5,-3.5,105.7,-0.2,110.1,4.2
NOH,2011-12,21,45,0.318,-3.11,88.3,-3,100.9,-3.7,105.1,0.5
NOH,2010-11,46,36,0.561,1.28,88.7,-3.4,106.2,-1.1,105.2,-2.1
NOH,2009-10,37,45,0.451,-2.27,92.6,-0.1,107.4,-0.2,110.1,2.5
NOH,2008-09,49,33,0.598,1.41,87.8,-3.9,108.7,0.4,107,-1.3
NOH,2007-08,56,26,0.683,5.46,89.9,-2.5,111.5,4,105.7,-1.8
NOH,2006-07,39,43,0.476,-1.19,90.2,-1.7,104.8,-1.7,106.5,0
NOH,2005-06,38,44,0.463,-2.51,89,-1.5,103.7,-2.5,106.8,0.6
NOH,2004-05,18,64,0.22,-6.3,87.6,-3.3,99.7,-6.4,107.7,1.6
NOH,2003-04,41,41,0.5,-0.72,89.1,-1,102.3,-0.6,102.4,-0.5
NOH,2002-03,47,35,0.573,1.52,89.4,-1.6,103.9,0.3,101.6,-2
NYK,2018-19,17,65,0.207,-8.93,99.6,-0.4,104.5,-5.9,113.7,3.3
NYK,2017-18,29,53,0.354,-3.53,96.8,-0.5,107.1,-1.5,110.7,2.1
NYK,2016-17,31,51,0.378,-3.87,96,-0.4,107.7,-1.1,111.5,2.7
NYK,2015-16,32,50,0.39,-2.74,93.4,-2.4,104.6,-1.8,107.6,1.2
NYK,2014-15,17,65,0.207,-9.5,91.2,-2.7,99.9,-5.7,110,4.4
NYK,2013-14,37,45,0.451,-1.4,90.3,-3.6,108.3,1.6,109.1,2.4
NYK,2012-13,54,28,0.659,3.73,89.8,-2.2,111.1,5.2,106.3,0.4
NYK,2011-12,36,30,0.545,2.39,93.2,1.9,104.4,-0.2,101,-3.6
NYK,2010-11,42,40,0.512,0.48,95.6,3.5,110.9,3.6,110.1,2.8
NYK,2009-10,29,53,0.354,-4.01,94,1.3,107.6,0,111.6,4
NYK,2008-09,32,50,0.39,-2.33,96.7,5,108.1,-0.2,110.8,2.5
NYK,2007-08,23,59,0.28,-6.55,91.6,-0.8,104.7,-2.8,111.9,4.4
NYK,2006-07,33,49,0.402,-3.06,90.8,-1.1,105.7,-0.8,108.8,2.3
NYK,2005-06,23,59,0.28,-6.3,90.8,0.3,104,-2.2,111,4.8
NYK,2004-05,33,49,0.402,-2.72,90.7,-0.2,106.2,0.1,108.9,2.8
NYK,2003-04,39,43,0.476,-1.97,89.5,-0.6,101.7,-1.2,103.3,0.4
NYK,2002-03,37,45,0.451,-1.61,90.7,-0.3,104.7,1.1,106.2,2.6
NYK,2001-02,30,52,0.366,-4.15,89.7,-1,101.5,-3,105.9,1.4
NYK,2000-01,48,34,0.585,1.98,86.7,-4.6,101.2,-1.8,98.2,-4.8
OKC,2018-19,49,33,0.598,3.56,102.8,2.8,110.3,-0.1,107,-3.4
OKC,2017-18,48,34,0.585,3.42,96.7,-0.6,110.7,2.1,107.2,-1.4
OKC,2016-17,47,35,0.573,1.14,97.8,1.4,108.3,-0.5,107.5,-1.3
OKC,2015-16,55,27,0.671,7.09,96.7,0.9,113.1,6.7,105.6,-0.8
OKC,2014-15,45,37,0.549,2.47,95.7,1.8,107.8,2.2,105.5,-0.1
OKC,2013-14,59,23,0.72,6.66,95.4,1.5,110.5,3.8,103.9,-2.8
OKC,2012-13,60,22,0.732,9.15,93.3,1.3,112.4,6.5,102.6,-3.3
OKC,2011-12,47,19,0.712,6.44,93,1.7,109.8,5.2,103.2,-1.4
OKC,2010-11,55,27,0.671,3.81,92.7,0.6,111.2,3.9,107.2,-0.1
OKC,2009-10,50,32,0.61,3.55,93.1,0.4,108.3,0.7,104.6,-3
OKC,2008-09,23,59,0.28,-6.04,93.6,1.9,102.9,-5.4,109.4,1.1
OKC,2007-08,20,62,0.244,-8.04,96.3,3.9,100.5,-7,109.5,2
OKC,2006-07,31,51,0.378,-2.45,91.8,-0.1,107.2,0.7,110.3,3.8
OKC,2005-06,35,47,0.427,-2.88,91.6,1.1,111.1,4.9,114.4,8.2
OKC,2004-05,52,30,0.634,2.59,87.9,-3,112.2,6.1,109.6,3.5
OKC,2003-04,37,45,0.451,0.02,89.9,-0.2,107.3,4.4,108,5.1
OKC,2002-03,40,42,0.488,0.37,88,-3,103.7,0.1,103.9,0.3
OKC,2001-02,45,37,0.549,3.24,89,-1.7,108.9,4.4,105.6,1.1
OKC,2000-01,44,38,0.537,0.55,91.6,0.3,105.6,2.6,105.6,2.6
ORL,2018-19,42,40,0.512,0.28,98.1,-1.9,108.9,-1.5,108.1,-2.3
ORL,2017-18,25,57,0.305,-4.92,98.1,0.8,105.2,-3.4,110.1,1.5
ORL,2016-17,29,53,0.354,-6.61,96.8,0.4,103.7,-5.1,110.5,1.7
ORL,2015-16,35,47,0.427,-1.68,96,0.2,105.1,-1.3,106.8,0.4
ORL,2014-15,25,57,0.305,-5.87,93.8,-0.1,101.6,-4,107.7,2.1
ORL,2013-14,23,59,0.28,-5.88,93.6,-0.3,101.7,-5,107.4,0.7
ORL,2012-13,20,62,0.244,-7.12,92.2,0.2,101.6,-4.3,109.1,3.2
ORL,2011-12,37,29,0.561,0.46,89,-2.3,105,0.4,104.1,-0.5
ORL,2010-11,52,30,0.634,4.92,91.2,-0.9,107.9,0.6,102,-5.3
ORL,2009-10,59,23,0.72,7.12,92,-0.7,111.4,3.8,103.3,-4.3
ORL,2008-09,59,23,0.72,6.48,92.3,0.6,109.2,0.9,101.9,-6.4
ORL,2007-08,52,30,0.634,4.79,93.4,1,111.3,3.8,105.5,-2
ORL,2006-07,40,42,0.488,0.35,89.9,-2,104.9,-1.6,104.1,-2.4
ORL,2005-06,36,46,0.439,-1.26,88.3,-2.2,106.3,0.1,107.5,1.3
ORL,2004-05,36,46,0.439,-2.52,94.7,3.8,104.9,-1.2,107.3,1.2
ORL,2003-04,21,61,0.256,-7.25,90.8,0.7,102.7,-0.2,110.4,7.5
ORL,2002-03,42,40,0.512,-0.39,93.1,2.1,105.2,1.6,105,1.4
ORL,2001-02,44,38,0.537,1.25,93.2,2.5,107,2.5,105.3,0.8
ORL,2000-01,43,39,0.524,0.39,93.2,1.9,103.2,0.2,102.1,-0.9
PHI,2018-19,51,31,0.622,2.25,101.6,1.6,112.6,2.2,110,-0.4
PHI,2017-18,52,30,0.634,4.3,99.8,2.5,109.5,0.9,105,-3.6
PHI,2016-17,28,54,0.341,-5.83,98.5,2.1,103.2,-5.6,108.9,0.1
PHI,2015-16,10,72,0.122,-9.92,97.9,2.1,98.8,-7.6,109.2,2.8
PHI,2014-15,18,64,0.22,-9.04,95.7,1.8,95.5,-10.1,104.8,-0.8
PHI,2013-14,19,63,0.232,-10.66,99.2,5.3,99.4,-7.3,109.9,3.2
PHI,2012-13,34,48,0.415,-3.51,91,-1,102,-3.9,105.7,-0.2
PHI,2011-12,35,31,0.53,3.59,89.7,-1.6,103.9,-0.7,99.2,-5.4
PHI,2010-11,41,41,0.5,1.01,91.7,-0.4,106.6,-0.7,105,-2.3
PHI,2009-10,27,55,0.329,-3.93,91.6,-1.1,106.1,-1.5,110.3,2.7
PHI,2008-09,41,41,0.5,0.16,90,-1.7,107.9,-0.4,107.8,-0.5
PHI,2007-08,40,42,0.488,0.19,90.4,-2,106.4,-1.1,106,-1.5
PHI,2006-07,35,47,0.427,-3.26,90.7,-1.2,103.6,-2.9,106.9,0.4
PHI,2005-06,38,44,0.463,-2.1,92.7,2.2,106,-0.2,108.1,1.9
PHI,2004-05,43,39,0.524,-1.07,94.9,4,103.5,-2.6,104.3,-1.8
PHI,2003-04,33,49,0.402,-2.95,88,-2.1,99.1,-3.8,101.9,-1
PHI,2002-03,48,34,0.585,1.76,91.4,0.4,105,1.4,102.5,-1.1
PHI,2001-02,43,39,0.524,1.27,88.9,-1.8,102.1,-2.4,100.3,-4.2
PHI,2000-01,56,26,0.683,3.64,90.6,-0.7,103.6,0.6,98.9,-4.1
PHO,2018-19,19,63,0.232,-8.61,100.5,0.5,105.9,-4.5,115.1,4.7
PHO,2017-18,21,61,0.256,-8.8,100.3,3,103.5,-5.1,112.8,4.2
PHO,2016-17,24,58,0.293,-5.14,100.3,3.9,106.6,-2.2,112.2,3.4
PHO,2015-16,23,59,0.28,-6.32,98.5,2.7,102.2,-4.2,109,2.6
PHO,2014-15,39,43,0.476,-0.38,96.3,2.4,105.3,-0.3,106.2,0.6
PHO,2013-14,48,34,0.585,3.02,95.8,1.9,109.5,2.8,106.7,0
PHO,2012-13,25,57,0.305,-5.75,93.4,1.4,101.2,-4.7,108.1,2.2
PHO,2011-12,33,33,0.5,0.29,92.6,1.3,106.2,1.6,106.5,1.9
PHO,2010-11,40,42,0.488,-0.46,94.4,2.3,109.5,2.2,110.4,3.1
PHO,2009-10,54,28,0.659,4.67,95.3,2.6,115.3,7.7,110.2,2.6
PHO,2008-09,46,36,0.561,1.62,96,4.3,113.6,5.3,111.6,3.3
PHO,2007-08,55,27,0.671,5.14,96.7,4.3,113.3,5.8,108.1,0.6
PHO,2006-07,61,21,0.744,7.28,95.6,3.7,113.9,7.4,106.4,-0.1
PHO,2005-06,54,28,0.659,5.48,95.8,5.3,111.5,5.3,105.8,-0.4
PHO,2004-05,62,20,0.756,7.08,95.9,5,114.5,8.4,107.1,1
PHO,2003-04,29,53,0.354,-2.94,92.6,2.5,101.4,-1.5,105.5,2.6
PHO,2002-03,44,38,0.537,1.57,91.5,0.5,103.7,0.1,102.5,-1.1
PHO,2001-02,36,46,0.439,-0.3,91.4,0.7,103.3,-1.2,104,-0.5
PHO,2000-01,51,31,0.622,2.63,93.1,1.8,100.3,-2.7,98,-5
POR,2018-19,53,29,0.646,4.43,99.1,-0.9,114.7,4.3,110.5,0.1
POR,2017-18,49,33,0.598,2.6,96.5,-0.8,109.1,0.5,106.4,-2.2
POR,2016-17,41,41,0.5,-0.23,96.7,0.3,110.3,1.5,110.8,2
POR,2015-16,44,38,0.537,0.98,96,0.2,108.8,2.4,108,1.6
POR,2014-15,51,31,0.622,4.41,94.2,0.3,108.2,2.6,103.7,-1.9
POR,2013-14,54,28,0.659,4.44,94.9,1,111.5,4.8,107.4,0.7
POR,2012-13,33,49,0.402,-2.53,91.4,-0.6,105.8,-0.1,109.2,3.3
POR,2011-12,28,38,0.424,-0.22,91.2,-0.1,105.7,1.1,106.4,1.8
POR,2010-11,48,34,0.585,1.85,87.9,-4.2,108.8,1.5,107.1,-0.2
POR,2009-10,50,32,0.61,3.18,87.7,-5,110.8,3.2,107.1,-0.5
POR,2008-09,54,28,0.659,5,86.6,-5.1,113.9,5.6,107.8,-0.5
POR,2007-08,41,41,0.5,-0.52,87.9,-4.5,107.3,-0.2,108.4,0.9
POR,2006-07,32,50,0.39,-3.78,88.3,-3.6,105.1,-1.4,109.9,3.4
POR,2005-06,21,61,0.256,-8.91,87.6,-2.9,101.1,-5.1,111.9,5.7
POR,2004-05,27,55,0.329,-3.45,89.8,-1.1,103.2,-2.9,107.7,1.6
POR,2003-04,41,41,0.5,-0.58,86.2,-3.9,103.7,0.8,105.1,2.2
POR,2002-03,50,32,0.61,2.97,89.4,-1.6,105.5,1.9,102.6,-1
POR,2001-02,49,33,0.598,3.21,89.3,-1.4,107.4,2.9,104,-0.5
POR,2000-01,50,32,0.61,4.52,89.1,-2.2,106.5,3.5,101.8,-1.2
SAC,2018-19,39,43,0.476,-0.81,103.1,3.1,110.4,0,111.5,1.1
SAC,2017-18,27,55,0.329,-6.6,94.9,-2.4,103.7,-4.9,111.1,2.5
SAC,2016-17,32,50,0.39,-3.29,94.9,-1.5,107.3,-1.5,111.3,2.5
SAC,2015-16,33,49,0.402,-2.32,100,4.2,106,-0.4,108.4,2
SAC,2014-15,29,53,0.354,-3.07,95.4,1.5,105.3,-0.3,109.2,3.6
SAC,2013-14,28,54,0.341,-2.08,94.4,0.5,105.7,-1,108.8,2.1
SAC,2012-13,28,54,0.341,-4.26,93.6,1.6,106.2,0.3,111.4,5.5
SAC,2011-12,22,44,0.333,-4.95,94.7,3.4,103.8,-0.8,109.8,5.2
SAC,2010-11,24,58,0.293,-4.8,95.2,3.1,103.5,-3.8,109,1.7
SAC,2009-10,25,57,0.305,-4.06,94,1.3,105.3,-2.3,109.9,2.3
SAC,2008-09,17,65,0.207,-8.6,94.2,2.5,105.5,-2.8,114.7,6.4
SAC,2007-08,38,44,0.463,-1.86,94.7,2.3,107.5,0,109.9,2.4
SAC,2006-07,33,49,0.402,-1.35,94.8,2.9,106.2,-0.3,108,1.5
SAC,2005-06,44,38,0.537,1.61,91.9,1.4,106.7,0.5,105,-1.2
SAC,2004-05,50,32,0.61,2.56,93,2.1,110.5,4.4,108.2,2.1
SAC,2003-04,55,27,0.671,5.41,92.8,2.7,110.3,7.4,104.9,2
SAC,2002-03,59,23,0.72,6.68,95.4,4.4,105.9,2.3,99.1,-4.5
SAC,2001-02,61,21,0.744,7.61,95.6,4.9,109,4.5,101.1,-3.4
SAC,2000-01,55,27,0.671,6.07,94.4,3.1,105.6,2.6,99.6,-3.4
SAS,2018-19,48,34,0.585,1.8,98.3,-1.7,112.9,2.5,111.2,0.8
SAS,2017-18,47,35,0.573,2.89,95,-2.3,107.9,-0.7,104.8,-3.8
SAS,2016-17,61,21,0.744,7.13,94.2,-2.2,111.1,2.3,103.5,-5.3
SAS,2015-16,67,15,0.817,10.28,93.8,-2,110.3,3.9,99,-7.4
SAS,2014-15,55,27,0.671,6.34,93.8,-0.1,108.5,2.9,102,-3.6
SAS,2013-14,62,20,0.756,8,95,1.1,110.5,3.8,102.4,-4.3
SAS,2012-13,58,24,0.707,6.67,94.2,2.2,108.3,2.4,101.6,-4.3
SAS,2011-12,50,16,0.758,7.28,92.9,1.6,110.9,6.3,103.2,-1.4
SAS,2010-11,61,21,0.744,5.86,92.3,0.2,111.8,4.5,105.6,-1.7
SAS,2009-10,50,32,0.61,5.07,91.7,-1,110,2.4,104.5,-3.1
SAS,2008-09,54,28,0.659,3.36,88.4,-3.3,108.5,0.2,104.3,-4
SAS,2007-08,56,26,0.683,5.1,88.8,-3.6,107.2,-0.3,101.8,-5.7
SAS,2006-07,58,24,0.707,8.35,89.8,-2.1,109.2,2.7,99.9,-6.6
SAS,2005-06,63,19,0.768,6.69,88.5,-2,107.3,1.1,99.6,-6.6
SAS,2004-05,59,23,0.72,7.84,88.9,-2,107.5,1.4,98.8,-7.3
SAS,2003-04,57,25,0.695,7.51,89.2,-0.9,102.2,-0.7,94.1,-8.8
SAS,2002-03,60,22,0.732,5.65,90,-1,105.6,2,99.7,-3.9
SAS,2001-02,58,24,0.707,6.28,90,-0.7,106.5,2,99.7,-4.8
SAS,2000-01,58,24,0.707,7.92,89.6,-1.7,106.6,3.6,98,-5
TOR,2018-19,58,24,0.707,5.49,100.2,0.2,113.1,2.7,107.1,-3.3
TOR,2017-18,59,23,0.72,7.29,97.4,0.1,113.8,5.2,105.9,-2.7
TOR,2016-17,51,31,0.622,3.65,94.7,-1.7,112.3,3.5,107.8,-1
TOR,2015-16,56,26,0.683,4.08,92.9,-2.9,110,3.6,105.2,-1.2
TOR,2014-15,49,33,0.598,2.45,92.8,-1.1,111,5.4,107.7,2.1
TOR,2013-14,48,34,0.585,2.55,91.8,-2.1,108.8,2.1,105.3,-1.4
TOR,2012-13,34,48,0.415,-1.96,90.4,-1.6,105.9,0,107.5,1.6
TOR,2011-12,23,43,0.348,-3.67,89.3,-2,100.8,-3.8,104.5,-0.1
TOR,2010-11,22,60,0.268,-6.28,92.9,0.8,106.1,-1.2,112.9,5.6
TOR,2009-10,40,42,0.488,-1.83,93.1,0.4,111.3,3.7,113.2,5.6
TOR,2008-09,33,49,0.402,-2.54,92,0.3,107,-1.3,110,1.7
TOR,2007-08,41,41,0.5,2.47,90.2,-2.2,110.2,2.7,107,-0.5
TOR,2006-07,47,35,0.573,0.61,92.6,0.7,107,0.5,106,-0.5
TOR,2005-06,27,55,0.329,-3.03,91.1,0.6,109.5,3.3,112.7,6.5
TOR,2004-05,33,49,0.402,-1.81,92.7,1.8,106.9,0.8,108.7,2.6
TOR,2003-04,33,49,0.402,-3.42,86.8,-3.3,97,-5.9,100.4,-2.5
TOR,2002-03,24,58,0.293,-6.1,89.9,-1.1,100.5,-3.1,107,3.4
TOR,2001-02,42,40,0.512,-0.71,88.8,-1.9,102.6,-1.9,103.1,-1.4
TOR,2000-01,47,35,0.573,1.69,90.9,-0.4,105.9,2.9,103.4,0.4
UTA,2018-19,50,32,0.61,5.28,100.3,0.3,110.9,0.5,105.7,-4.7
UTA,2017-18,48,34,0.585,4.47,95.7,-1.6,108.4,-0.2,103.9,-4.7
UTA,2016-17,51,31,0.622,4,91.6,-4.8,109.6,0.8,105.3,-3.5
UTA,2015-16,40,42,0.488,1.84,91,-4.8,105.9,-0.5,103.9,-2.5
UTA,2014-15,38,44,0.463,0.71,90.4,-3.5,105.1,-0.5,104.9,-0.7
UTA,2013-14,25,57,0.305,-6.27,91.4,-2.5,103.5,-3.2,111.3,4.6
UTA,2012-13,43,39,0.524,0.3,90.9,-1.1,106.7,0.8,106.8,0.9
UTA,2011-12,36,30,0.545,0.92,91.4,0.1,106.8,2.2,106.1,1.5
UTA,2010-11,39,43,0.476,-1.44,91,-1.1,108.1,0.8,110.1,2.8
UTA,2009-10,53,29,0.646,5.33,93.8,1.1,110.7,3.1,105,-2.6
UTA,2008-09,48,34,0.585,2.31,93.1,1.4,110.1,1.8,107.3,-1
UTA,2007-08,54,28,0.659,6.86,93.2,0.8,113.8,6.3,106.5,-1
UTA,2006-07,51,31,0.622,3.06,91.6,-0.3,110.1,3.6,107,0.5
UTA,2005-06,41,41,0.5,-2.49,87.8,-2.7,104.1,-2.1,107,0.8
UTA,2004-05,26,56,0.317,-3.74,88.4,-2.5,104.7,-1.4,109.5,3.4
UTA,2003-04,42,40,0.512,-0.53,86.6,-3.5,101.9,-1,103.3,0.4
UTA,2002-03,47,35,0.573,2.76,89.3,-1.7,105.5,1.9,102.8,-0.8
UTA,2001-02,44,38,0.537,1.21,90.3,-0.4,105.6,1.1,104.6,0.1
UTA,2000-01,53,29,0.646,5,89.8,-1.5,107.6,4.6,102.4,-0.6
WAS,2018-19,32,50,0.39,-3.3,101.4,1.4,111.1,0.7,113.9,3.5
WAS,2017-18,43,39,0.524,0.53,96.6,-0.7,109.3,0.7,108.7,0.1
WAS,2016-17,49,33,0.598,1.36,97.4,1,111.2,2.4,109.3,0.5
WAS,2015-16,41,41,0.5,-0.5,98.5,2.7,105.3,-1.1,105.8,-0.6
WAS,2014-15,46,36,0.561,0.17,93.7,-0.2,103.7,-1.9,103,-2.6
WAS,2013-14,44,38,0.537,0.48,93.2,-0.7,106,-0.7,104.6,-2.1
WAS,2012-13,29,53,0.354,-2.78,92.2,0.2,100.2,-5.7,103,-2.9
WAS,2011-12,20,46,0.303,-5.14,92.5,1.2,101,-3.6,106.2,1.6
WAS,2010-11,23,59,0.28,-7.3,93.8,1.7,102.4,-4.9,110.2,2.9
WAS,2009-10,26,56,0.317,-4.72,91.6,-1.1,104.2,-3.4,109.4,1.8
WAS,2008-09,19,63,0.232,-6.98,91,-0.7,105.4,-2.9,113.6,5.3
WAS,2007-08,43,39,0.524,-0.61,89.5,-2.9,109.2,1.7,109.6,2.1
WAS,2006-07,41,41,0.5,-0.8,94.1,2.2,110.1,3.6,110.6,4.1
WAS,2005-06,42,40,0.512,1.57,92.3,1.8,109.3,3.1,107.3,1.1
WAS,2004-05,45,37,0.549,-0.71,93.3,2.4,107.2,1.1,107.5,1.4
WAS,2003-04,25,57,0.305,-6.12,92.2,2.1,98.8,-4.1,104.8,1.9
WAS,2002-03,37,45,0.451,-1.47,88.2,-2.8,103,-0.6,104.1,0.5
WAS,2001-02,37,45,0.451,-1.58,88.3,-2.4,104.8,0.3,106.4,1.9
WAS,2000-01,19,63,0.232,-6.75,92.7,1.4,100.6,-2.4,107.8,4.8
